"Date","Price","Open","High","Low","Vol.","Change %"
"Jan 22, 2021","3.339","2.985","3.485","2.661","-","11.87%"
"Jan 21, 2021","2.985","3.723","3.723","2.985","-","-19.83%"
"Jan 20, 2021","3.723","3.647","3.726","3.382","-","2.08%"
"Jan 19, 2021","3.647","3.784","3.996","3.622","-","-3.62%"
"Jan 18, 2021","3.784","3.827","4.111","3.020","-","-1.13%"
"Jan 17, 2021","3.827","3.449","3.963","3.362","-","10.99%"
"Jan 16, 2021","3.449","3.300","3.680","3.300","-","4.50%"
"Jan 15, 2021","3.300","3.284","3.425","3.000","-","0.48%"
"Jan 14, 2021","3.284","3.517","3.543","3.208","-","-6.63%"
"Jan 13, 2021","3.517","3.631","3.631","3.313","-","-3.14%"
"Jan 12, 2021","3.631","3.107","3.831","3.088","-","16.88%"
"Jan 11, 2021","3.107","3.053","3.154","2.616","-","1.77%"
"Jan 10, 2021","3.053","3.000","3.700","3.000","-","1.76%"
"Jan 09, 2021","3.000","3.889","3.889","2.900","-","-22.85%"
"Jan 08, 2021","3.889","2.359","3.889","2.184","-","64.83%"
"Jan 07, 2021","2.359","1.934","2.412","1.934","-","22.00%"
"Jan 06, 2021","1.934","2.155","2.165","1.934","-","-10.29%"
"Jan 05, 2021","2.155","2.489","2.489","2.093","-","-13.39%"
"Jan 04, 2021","2.489","2.161","2.489","1.945","-","15.18%"
"Jan 03, 2021","2.161","1.796","2.295","1.796","-","20.27%"
"Jan 02, 2021","1.796","1.837","1.986","1.733","-","-2.22%"
"Jan 01, 2021","1.837","1.514","1.837","1.507","-","21.34%"
